quadratID,easting,northing
gos_3_5,687795.846,4673324.808
gos_3_6,687800.8408,4673314.375
gos_3_7,687818.0402,4673313.168
gos_3_4,687778.2537,4673328.977
gos_1_7,687681.3477,4673278.131
gos_1_9,687743.2756,4673242.487
gos_1_8,687692.6846,4673265.671
gos_1_4,687653.3242,4673298.249
gos_1_6,687671.1408,4673285.964
gos_1_10,687746.3959,4673248.45
gos_1_5,687663.4581,4673293.052
gos_2_7,687768.3855,4673279.558
gos_2_4,687699.0262,4673321.973
gos_2_5,687684.4328,4673329.098
gos_2_6,687744.2762,4673291.368
gos_1_1,687673.47,4673279.756
gos_1_2,687660.758,4673290.167
gos_1_3,687649.212,4673295.198
gos_2_1,687750.409,4673291.647
gos_2_2,687741.07,4673296.607
gos_2_3,687711.488,4673313.906
gos_3_1,687778.993,4673325.677
gos_3_2,687786.953,4673324.156
gos_3_3,687761.418,4673336.526
